Horizon started successfully.
[2020-10-07 15:26:32][13] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:31][12] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:31][11] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:32][14] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:32][15] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:36][16] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:37][17] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:37][18] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:41][19] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:45][20] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][18] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][22] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][12] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][24] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][14] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][25] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:57][16] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][21] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:57][20] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:57][23] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:26:58][22] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:58][26] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:59][24] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:26:59][27] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:00][26] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:00][29] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:00][30] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:00][28] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:01][31] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:02][32] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:03][30] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:03][34] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:02][28] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:02][33] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:04][35] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:04][32] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:04][36] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:05][34] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:05][38] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:04][37] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:06][39] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:06][36] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:06][40] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:07][38] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:07][41] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:08][42] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:08][40] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:08][44] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:08][43] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:10][42] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:10][46] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:10][45] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:10][44] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:10][47] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:10][48] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:11][49] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:13][50] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:14][51] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:15][52] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:17][53] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:21][54] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][46] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][56] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][54] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][55] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:23][48] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][58] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][50] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][59] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:23][52] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:23][57] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:24][56] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:24][60] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:24][58] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:24][61] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:25][60] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:25][62] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][62] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][63] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:27][64] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][66] Processing: App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:27][65] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][64] Processed:  App\Jobs\ReadHotspot\HotspotLapan
[2020-10-07 15:27:28][67] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][69] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:27:28][66] Processed:  App\Jobs\ReadHotspot\HotspotLapan
